,hour,station_complex_id,station_complex,ridership,transfers
0,09,228,"23 St (F,M)",2.0,0.0
1,09,162,"50 St (C,E)",87.0,1.0
2,09,333,"Wall St (2,3)",165.0,2.0
3,09,477,72 St (Q),7.0,0.0
4,09,144,Dyckman St (A),44.0,0.0
5,09,602,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",168.0,18.0
6,09,393,116 St (6),23.0,0.0
7,09,602,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",142.0,0.0
8,09,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",82.0,2.0
9,09,159,"81 St-Museum of Natural History (C,B)",27.0,0.0
10,09,333,"Wall St (2,3)",48.0,0.0
11,09,404,28 St (6),7.0,0.0
12,09,313,"72 St (1,2,3)",121.0,2.0
13,09,438,"135 St (2,3)",15.0,0.0
14,09,329,Rector St (1),4.0,0.0
15,09,162,"50 St (C,E)",6.0,0.0
16,09,8,"5 Av/59 St (N,R,W)",4.0,0.0
17,09,623,"Canal St (J,N,Q,R,W,Z,6)",24.0,0.0
18,09,329,Rector St (1),9.0,1.0
19,09,304,145 St (1),15.0,1.0
20,09,439,"125 St (2,3)",10.0,0.0
21,09,477,72 St (Q),46.0,0.0
22,09,409,Spring St (6),10.0,0.0
23,09,165,"23 St (C,E)",11.0,0.0
24,09,13,"28 St (R,W)",33.0,0.0
25,09,612,"Lexington Av-53 St (E,M)/51 St (6)",10.0,0.0
26,09,437,145 St (3),9.0,0.0
27,09,162,"50 St (C,E)",317.0,0.0
28,09,16,"8 St-NYU (R,W)",5.0,0.0
29,09,476,86 St (Q),8.0,0.0
30,09,321,18 St (1),4.0,0.0
31,09,231,"Grand St (B,D)",197.0,0.0
32,09,297,215 St (1),2.0,0.0
33,09,162,"50 St (C,E)",20.0,0.0
34,09,118,3 Av (L),36.0,3.0
35,09,157,"96 St (C,B)",22.0,0.0
36,09,169,"Canal St (A,C,E)",8.0,0.0
37,09,20,"City Hall (R,W)",3.0,0.0
