year,month,day_of_week,hour_of_day,timestamp,origin_station_complex_id,origin_station_complex_name,origin_latitude,origin_longitude,destination_station_complex_id,destination_station_complex_name,destination_latitude,destination_longitude,estimated_average_ridership,origin_point,destination_point
2023,10,Tuesday,15,2023-10-03T15:00:00.000,451,Junction Blvd (7),40.749145,-73.869527,245,18 Av (F),40.629755,-73.976971,0.5426,"{'type': 'Point', 'coordinates': [-73.869527, 40.749145]}","{'type': 'Point', 'coordinates': [-73.976971, 40.629755]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,405,23 St (6),40.739864,-73.986599,445,Pelham Pkwy (5),40.858985,-73.855359,3.7058,"{'type': 'Point', 'coordinates': [-73.986599, 40.739864]}","{'type': 'Point', 'coordinates': [-73.855359, 40.858985]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,608,"4 Av (F,G)/9 St (R)",40.670559,-73.989041,318,"34 St-Penn Station (1,2,3)",40.750373,-73.991057,0.9542,"{'type': 'Point', 'coordinates': [-73.989041, 40.670559]}","{'type': 'Point', 'coordinates': [-73.991057, 40.750373]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,228,"23 St (F,M)",40.742878,-73.992821,624,"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",40.712603,-74.009552,1.8796,"{'type': 'Point', 'coordinates': [-73.992821, 40.742878]}","{'type': 'Point', 'coordinates': [-74.009552, 40.712603]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,16,"8 St-NYU (R,W)",40.730328,-73.992629,277,"7 Av (E,B,D)",40.762862,-73.981637,3.6988,"{'type': 'Point', 'coordinates': [-73.992629, 40.730328]}","{'type': 'Point', 'coordinates': [-73.981637, 40.762862]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,80,"121 St (J,Z)",40.700492,-73.828294,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",40.732338,-74.000495,0.5372,"{'type': 'Point', 'coordinates': [-73.828294, 40.700492]}","{'type': 'Point', 'coordinates': [-74.000495, 40.732338]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,212,"Kingsbridge Rd (B,D)",40.866978,-73.893509,388,167 St (4),40.835537,-73.9214,2.9728,"{'type': 'Point', 'coordinates': [-73.893509, 40.866978]}","{'type': 'Point', 'coordinates': [-73.9214, 40.835537]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,282,21 St (G),40.744065,-73.949724,629,Lorimer St (L)/Metropolitan Av (G),40.713428,-73.950847,0.4972,"{'type': 'Point', 'coordinates': [-73.949724, 40.744065]}","{'type': 'Point', 'coordinates': [-73.950847, 40.713428]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,612,"Lexington Av-53 St (E,M)/51 St (6)",40.75733,-73.970487,378,Woodlawn (4),40.886037,-73.878751,8.7518,"{'type': 'Point', 'coordinates': [-73.970487, 40.75733]}","{'type': 'Point', 'coordinates': [-73.878751, 40.886037]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,10,"49 St (N,R,W)",40.759901,-73.984139,434,"3 Av-149 St (2,5)",40.816109,-73.917757,3.5258,"{'type': 'Point', 'coordinates': [-73.984139, 40.759901]}","{'type': 'Point', 'coordinates': [-73.917757, 40.816109]}"
