Shipment Date,HS Code,Estimated HS Code,Product,Shipper Standarised Name,Shipper,Outbound Country,Inbound Country,Net Weight (kg),Shipment Value (USD),Port of Unlading
"Jan 31, 2023",842952,NA,New John Deere Mini Excavator Japan Arranged Waybill Unit,Hitachi Construction Machinery Co Ltd,Hitachi Construction Machinery,Japan,United States,25004,211270.75,"Long Beach, California"
"Jan 31, 2023",84335990,NA, Hydraflex Cutting Platform,NA,John Deere Brasil Ltda,Brazil,United States,NA,119000,"New York, United States"
"Jan 31, 2023",84335990,NA, Hydraflex Cutting Platform,NA,John Deere Brasil Ltda,Brazil,United States,NA,426000,"New York, United States"
"Jan 31, 2023",330000,NA, Service Parts Jd,John Deere And Company,John Deere,United States,Brazil,NA,0,"Santos, Brazil"
"Jan 31, 2023",84335990,NA, Hydraflex Cutting Platform,NA,John Deere Brasil Ltda,Brazil,United States,NA,0,"New York, United States"
"Jan 31, 2023",330000,NA, Service Parts Jd,John Deere And Company,John Deere,United States,Brazil,NA,0,"Santos, Brazil"
"Jan 31, 2023",330000,NA, Service Parts Jd,John Deere And Company,John Deere,United States,Brazil,NA,94800,"Santos, Brazil"
"Jan 31, 2023",330000,NA, New Radiator,NA,Ege Trans Internationale Spedition Gmbh,Germany,Brazil,NA,0,"Santos, Brazil"
"Jan 31, 2023",330000,NA, New Hood Support Assy,NA,Ege Trans Internationale Spedition Gmbh,Germany,Brazil,NA,0,"Santos, Brazil"
"Jan 31, 2023",330000,NA, Service Parts Jd,John Deere And Company,John Deere,United States,Brazil,NA,0,"Santos, Brazil"
"Jan 31, 2023",330000,NA, Service Parts Jd,John Deere And Company,John Deere,United States,Brazil,NA,0,"Santos, Brazil"
"Jan 31, 2023",84335990,NA, Hydraflex Cutting Platform,NA,John Deere Brasil Ltda,Brazil,United States,NA,82500,"New York, United States"
"Jan 31, 2023",84335990,NA, Hydraflex Cutting Platform,NA,John Deere Brasil Ltda,Brazil,United States,NA,0,"New York, United States"
"Jan 31, 2023",330000,NA, New Nitrogen Compressed Hydraulic Accumulators In Steel,NA,Ege Trans Internationale Spedition Gmbh,Germany,Brazil,NA,0,"Santos, Brazil"
"Jan 31, 2023",330000,NA, Agricultural Spare Parts,NA,John Deere,Germany,Brazil,NA,69600,"Santos, Brazil"
"Jan 31, 2023",330000,NA, New Filler Cap,NA,Ege Trans Internationale Spedition Gmbh,Germany,Brazil,NA,0,"Santos, Brazil"
"Jan 31, 2023",330000,NA, New Hood Support Assy,NA,Ege Trans Internationale Spedition Gmbh,Germany,Brazil,NA,0,"Santos, Brazil"
"Jan 31, 2023",84335990,NA, Hydraflex Cutting Platform,NA,John Deere Brasil Ltda,Brazil,United States,NA,0,"New York, United States"
"Jan 31, 2023",330000,NA, Service Parts Jd,John Deere And Company,John Deere,United States,Brazil,NA,356000,"Santos, Brazil"
"Jan 31, 2023",330000,NA, New Hood Support Assy,NA,Ege Trans Internationale Spedition Gmbh,Germany,Brazil,NA,0,"Santos, Brazil"
"Jan 31, 2023",330000,NA, Component Parts,John Deere And Company,John Deere,United States,Brazil,NA,0,"Santos, Brazil"
"Jan 31, 2023",85120000,NA, New Lamp,NA,Ege Trans Internationale Spedition Gmbh,Germany,Brazil,NA,0,"Santos, Brazil"
"Jan 31, 2023",84120000,NA, New Hydraulic Motor,NA,Ege Trans Internationale Spedition Gmbh,Germany,Brazil,NA,0,"Santos, Brazil"
"Jan 31, 2023",330000,NA, Component Parts,John Deere And Company,John Deere,United States,Brazil,NA,4845000,"Santos, Brazil"
"Jan 31, 2023",85114004,NA,NA,NA,NA,NA,Mexico,NA,8009.82,NA
"Jan 31, 2023",85114004,NA,NA,NA,NA,NA,Mexico,NA,5420.42,NA
"Jan 31, 2023",84834009,NA,NA,NA,NA,NA,Mexico,NA,45.68,NA
"Jan 31, 2023",85114004,NA,NA,NA,NA,NA,Mexico,NA,12617.44,NA
"Jan 31, 2023",85118001,NA,NA,NA,NA,NA,Mexico,NA,3169.5,NA
"Jan 31, 2023",85118001,NA,NA,NA,NA,NA,Mexico,NA,358.8,NA
"Jan 31, 2023",85114004,NA,NA,NA,NA,NA,Mexico,NA,207.05,NA
"Jan 31, 2023",85115091,NA,NA,NA,NA,NA,Mexico,NA,321.4,NA
"Jan 31, 2023",85114004,NA,NA,NA,NA,NA,Mexico,NA,683.9,NA
"Jan 31, 2023",85114004,NA,NA,NA,NA,NA,Mexico,NA,1347.48,NA
"Jan 31, 2023",85114004,NA,NA,NA,NA,NA,Mexico,NA,11022.38,NA
"Jan 31, 2023",85119006,NA,NA,NA,NA,NA,Mexico,NA,1325.87,NA
"Jan 31, 2023",85364199,NA,NA,NA,NA,NA,Mexico,NA,115.53,NA
"Jan 31, 2023",85118001,NA,NA,NA,NA,NA,Mexico,NA,950.82,NA
"Jan 31, 2023",85119006,NA,NA,NA,NA,NA,Mexico,NA,18.57,NA
"Jan 31, 2023",85115091,NA,NA,NA,NA,NA,Mexico,NA,160.6,NA
"Jan 31, 2023",85119006,NA,NA,NA,NA,NA,Mexico,NA,24.54,NA
"Jan 31, 2023",85118001,NA,NA,NA,NA,NA,Mexico,NA,633.9,NA
"Jan 31, 2023",85114004,NA,NA,NA,NA,NA,Mexico,NA,2401.49,NA
"Jan 31, 2023",85115091,NA,NA,NA,NA,NA,Mexico,NA,4221.66,NA
"Jan 31, 2023",85115091,NA,NA,NA,NA,NA,Mexico,NA,2455.76,NA
"Jan 31, 2023",84834009,NA,NA,NA,NA,NA,Mexico,NA,30.61,NA
"Jan 31, 2023",85114004,NA,NA,NA,NA,NA,Mexico,NA,334.36,NA
"Jan 31, 2023",85364199,NA,NA,NA,NA,NA,Mexico,NA,405.5,NA
"Jan 31, 2023",85115091,NA,NA,NA,NA,NA,Mexico,NA,379.37,NA
"Jan 31, 2023",84834009,NA,NA,NA,NA,NA,Mexico,NA,121.86,NA
"Jan 31, 2023",85119006,NA,NA,NA,NA,NA,Mexico,NA,324.9,NA
"Jan 31, 2023",85114004,NA,NA,NA,NA,NA,Mexico,NA,125.93,NA
"Jan 31, 2023",85114004,NA,NA,NA,NA,NA,Mexico,NA,3659.36,NA
"Jan 31, 2023",85114004,NA,NA,NA,NA,NA,Mexico,NA,225.1,NA
"Jan 31, 2023",85411001,NA,NA,NA,NA,NA,Mexico,NA,330.71,NA
"Jan 31, 2023",85114004,NA,NA,NA,NA,NA,Mexico,NA,3376.18,NA
"Jan 31, 2023",85119006,NA,NA,NA,NA,NA,Mexico,NA,191.82,NA
"Jan 31, 2023",85115091,NA,NA,NA,NA,NA,Mexico,NA,401.49,NA
"Jan 31, 2023",85119006,NA,NA,NA,NA,NA,Mexico,NA,57.56,NA
"Jan 31, 2023",85119006,NA,NA,NA,NA,NA,Mexico,NA,9.1,NA
"Jan 31, 2023",85114004,NA,NA,NA,NA,NA,Mexico,NA,13276.49,NA
"Jan 31, 2023",85118001,NA,NA,NA,NA,NA,Mexico,NA,478.03,NA
"Jan 31, 2023",85115091,NA,NA,NA,NA,NA,Mexico,NA,718.11,NA
"Jan 31, 2023",85119006,NA,NA,NA,NA,NA,Mexico,NA,1260.96,NA
"Jan 31, 2023",85115091,NA,NA,NA,NA,NA,Mexico,NA,1759,NA
"Jan 31, 2023",85114004,NA,NA,NA,NA,NA,Mexico,NA,14904.48,NA
"Jan 31, 2023",85114004,NA,NA,NA,NA,NA,Mexico,NA,6504.48,NA
"Jan 31, 2023",85115091,NA,NA,NA,NA,NA,Mexico,NA,1513.37,NA
"Jan 31, 2023",85452001,NA,NA,NA,NA,NA,Mexico,NA,242.34,NA
"Jan 31, 2023",85411001,NA,NA,NA,NA,NA,Mexico,NA,22.07,NA
"Jan 31, 2023",85118001,NA,NA,NA,NA,NA,Mexico,NA,58.18,NA
"Jan 31, 2023",85364199,NA,NA,NA,NA,NA,Mexico,NA,78.76,NA
"Jan 31, 2023",85114004,NA,NA,NA,NA,NA,Mexico,NA,1021.24,NA
"Jan 31, 2023",85114004,NA,NA,NA,NA,NA,Mexico,NA,11333.39,NA
"Jan 31, 2023",85114004,NA,NA,NA,NA,NA,Mexico,NA,417.9,NA
"Jan 31, 2023",85118001,NA,NA,NA,NA,NA,Mexico,NA,956.07,NA
"Jan 31, 2023",85452001,NA,NA,NA,NA,NA,Mexico,NA,201.95,NA
"Jan 31, 2023",84834009,NA,NA,NA,NA,NA,Mexico,NA,183.8,NA
"Jan 31, 2023",85114004,NA,NA,NA,NA,NA,Mexico,NA,1492.59,NA
