,country
0,Côte d'Ivoire
1,Vietnam
2,Nigeria
3,Zambia
4,Tanzania
5,Rwanda
6,Haiti
7,Zimbabwe
8,Ethiopia
9,South Africa
10,Guyana
11,Namibia
12,Botswana
13,Mozambique
14,Kenya
15,Kazakhstan
16,Uganda
17,Kyrgyzstan
18,Senegal
19,Benin
20,Lesotho
21,Pakistan
22,Swaziland
23,Ghana
24,Angola
25,Lebanon
26,Sierra Leone
27,Cameroon
28,South Sudan
29,Burundi
30,Dominican Republic
31,Malawi
32,"Congo, DRC"
33,Sudan
34,Mali
35,Guatemala
36,Togo
37,Afghanistan
38,Liberia
39,Burkina Faso
40,Guinea
41,Libya
42,Belize
