id,country,shipment_mode,scheduled_delivery_date,delivered_to_client_date,product_group,sub_classification,unit_of_measure_per_pack,line_item_quantity,line_item_value,pack_price,unit_price,weight_kilograms,freight_cost_usd,dosage
1,Côte d'Ivoire,Air,2-Jun-06,2-Jun-06,HRDT,HIV test,30,19,551.0,29.0,0.97,13,780.34,
3,Vietnam,Air,14-Nov-06,14-Nov-06,ARV,Pediatric,240,1000,6200.0,6.2,0.03,358,4521.5,10mg/ml
4,Côte d'Ivoire,Air,27-Aug-06,27-Aug-06,HRDT,HIV test,100,500,40000.0,80.0,0.8,171,1653.78,
15,Vietnam,Air,1-Sep-06,1-Sep-06,ARV,Adult,60,31920,127360.8,3.99,0.07,1855,16007.06,150mg
16,Vietnam,Air,11-Aug-06,11-Aug-06,ARV,Adult,60,38000,121600.0,3.2,0.05,7590,45450.08,30mg
23,Nigeria,Air,28-Sep-06,28-Sep-06,ARV,Pediatric,240,416,2225.6,5.35,0.02,504,5920.42,10mg/ml
44,Zambia,Air,8-Jan-07,8-Jan-07,ARV,Pediatric,90,135,4374.0,32.4,0.36,328,Freight Included in Commodity Cost,200mg
45,Tanzania,Air,24-Nov-06,24-Nov-06,ARV,Adult,60,16667,60834.55,3.65,0.06,1478,6212.41,200mg
46,Nigeria,Air,7-Dec-06,7-Dec-06,ARV,Adult,60,273,532.35,1.95,0.03,See ASN-93 (ID#:1281),See ASN-93 (ID#:1281),30mg
47,Zambia,Air,30-Jan-07,30-Jan-07,ARV,Adult,120,2800,115080.0,41.1,0.34,643,Freight Included in Commodity Cost,200/50mg
60,Zambia,Air,16-Feb-07,16-Feb-07,ARV,Adult,120,2800,115080.0,41.1,0.34,643,Freight Included in Commodity Cost,200/50mg
61,Zambia,Air,8-Jan-07,8-Jan-07,HRDT,HIV test,20,2500,100000.0,40.0,2.0,853,13569.49,
62,Nigeria,Air,10-Jan-07,10-Jan-07,HRDT,HIV test,100,10,850.0,85.0,0.85,Weight Captured Separately,Invoiced Separately,
